Benchmark,simSeconds,simTicks,simInsts,hostSeconds,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.demandMissRate::total,system.cpu.idleCycles,system.cpu.tickCycles,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy,system.mem_ctrls.dram.rank0.averagePower,system.mem_ctrls.dram.rank0.averagePower
CCm,5e-05,50205000.0,59948.0,0.17,287079068.0,621988.0,59948.0,100410.0,1.674952,0.597032,0.081541,20461.0,79949.0,26239410.0,23072940.0,522.645354,522.645354
EM1,2.6e-05,25514500.0,18851.0,0.09,279910818.0,621988.0,18851.0,51029.0,2.706965,0.369417,0.079464,20936.0,30093.0,14946990.0,11694870.0,585.823355,585.823355
DPT,0.000113,113188000.0,106979.0,0.38,294500405.0,621996.0,106979.0,226376.0,2.116079,0.472572,0.033173,32348.0,194028.0,57112215.0,52485165.0,504.578356,504.578356
MIM2,0.000275,274895000.0,105243.0,0.43,633697244.0,622440.0,105243.0,549790.0,5.224005,0.191424,0.164665,379619.0,170171.0,155739855.0,152753010.0,566.543062,566.543062
CCl,5e-05,49608000.0,119245.0,0.2,252929075.0,622000.0,119245.0,99216.0,0.832035,1.201873,0.030284,21164.0,78052.0,26142435.0,22843980.0,526.980225,526.980225
EF,3.4e-05,33535500.0,43449.0,0.13,254507835.0,621996.0,43449.0,67071.0,1.543672,0.647806,0.077739,20466.0,46605.0,18570000.0,15407400.0,553.741557,553.741557
STL2,0.001144,1143787000.0,309681.0,1.37,835691610.0,622928.0,309681.0,2287574.0,7.386872,0.135375,0.256571,1727169.0,560405.0,699654180.0,696209310.0,611.699713,611.699713
ML2BWst,0.00189,1890383000.0,625078.0,2.41,784993892.0,622916.0,625078.0,3780766.0,6.048471,0.165331,0.311415,2890392.0,890374.0,1348179885.0,1344077805.0,713.178168,713.178168
CRd,0.061834,61833541500.0,85974033.0,247.27,250069626.0,622004.0,85974033.0,123667083.0,1.438424,0.695205,1e-05,285331.0,123381752.0,28774228185.0,28765730490.0,465.349833,465.349833
MMst,0.007869,7868607000.0,2982932.0,13.56,580374507.0,623192.0,2982932.0,15737214.0,5.275754,0.189546,0.202998,10139115.0,5598099.0,5158225815.0,5148298665.0,655.54498,655.54498
MIM,0.000275,274895000.0,105243.0,0.43,640736641.0,622440.0,105243.0,549790.0,5.224005,0.191424,0.164665,379619.0,170171.0,155739855.0,152753010.0,566.543062,566.543062
ED1,3.1e-05,31101500.0,14759.0,0.1,309938556.0,621988.0,14759.0,62203.0,4.214581,0.237272,0.079393,19835.0,42368.0,17009370.0,13840470.0,546.898703,546.898703
CCh,0.001045,1044974500.0,1182157.0,3.36,311001978.0,622004.0,1182157.0,2089949.0,1.767912,0.565639,0.00261,172022.0,1917927.0,500856360.0,487217655.0,479.300079,479.300079
